New_Date,Order_Id,Country,Device_Type,Category,Customer_Name,Sales_Manager,Sales_Rep, Order_Value_Eur ,  Cost  ,Date,Day,Month,Year
22-02-2019,04-7976277,France,PC,Accessories,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,"60,592.40"," 52,363.95 ",2/22/2019,2,22,2019
11-06-2019,98-8250897,France,PC,Appliances,Kihn Inc,Othello Bowes,Crysta Halls,"86,628.32"," 72,464.59 ",11-06-2019,11,6,2019
08-05-2020,67-3672347,France,PC,Appliances,"Dickinson, Hyatt and Berge",Othello Bowes,Maighdiln Upcraft,"1,09,562.50"," 89,917.94 ",08-05-2020,8,5,2020
19-01-2019,53-1426071,France,Mobile,Smartphones,McGlynn-Prosacco,Othello Bowes,Ora Grennan,"80,781.62"," 68,971.35 ",1/19/2019,1,19,2019
23-12-2019,49-7167664,France,Tablet,Appliances,Corwin and Sons,Othello Bowes,Amelina Piscopiello,"2,38,659.41"," 2,04,507.25 ",12/23/2019,12,23,2019
22-04-2019,98-2104934,France,PC,Clothing,Wisoky Inc,Othello Bowes,Avrit Chanders,"1,63,401.23"," 1,39,413.93 ",4/22/2019,4,22,2019
26-05-2020,53-3037652,France,PC,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,"99,319.33"," 79,127.71 ",5/26/2020,5,26,2020
21-05-2019,87-1399932,France,PC,Books,Stehr LLC,Othello Bowes,Ora Grennan,"49,374.25"," 39,208.09 ",5/21/2019,5,21,2019
13-12-2020,70-0364033,France,PC,Clothing,Hessel-Stiedemann,Othello Bowes,Avrit Chanders,"2,34,340.31"," 2,04,438.49 ",12/13/2020,12,13,2020
13-09-2019,20-3125420,France,Tablet,Appliances,Connelly-Mohr,Othello Bowes,Amelina Piscopiello,"1,28,804.51"," 1,05,709.86 ",9/13/2019,9,13,2019
08-01-2020,79-0973971,France,Mobile,Books,"Keeling, Monahan and Pollich",Othello Bowes,Avrit Chanders,"1,33,905.55"," 1,16,886.15 ",08-01-2020,8,1,2020
04-10-2020,65-5376517,France,Mobile,Appliances,"Schowalter, Lesch and Beahan",Othello Bowes,Avrit Chanders,"63,298.61"," 53,645.57 ",04-10-2020,4,10,2020
12-09-2020,80-5258827,France,Mobile,Outdoors,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,"2,74,242.36"," 2,27,950.25 ",12-09-2020,12,9,2020
20-08-2019,19-5610175,France,PC,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,"1,19,156.18"," 1,00,710.80 ",8/20/2019,8,20,2019
14-04-2020,94-3509391,France,PC,Beauty,Johns and Sons,Othello Bowes,Maighdiln Upcraft,"1,62,123.74"," 1,33,979.06 ",4/14/2020,4,14,2020
26-12-2019,68-6141868,France,PC,Books,Franecki-White,Othello Bowes,Amelina Piscopiello,"1,80,515.09"," 1,48,852.74 ",12/26/2019,12,26,2019
26-12-2019,79-3154360,France,PC,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,"87,404.00"," 69,363.81 ",12/26/2019,12,26,2019
07-08-2019,11-6024248,France,PC,Clothing,Dibbert Inc,Othello Bowes,Crysta Halls,"47,680.20"," 40,575.85 ",07-08-2019,7,8,2019
25-04-2020,46-5576111,France,PC,Books,Stehr LLC,Othello Bowes,Maighdiln Upcraft,"1,41,948.11"," 1,12,948.11 ",4/25/2020,4,25,2020
12-09-2019,56-9241023,France,Tablet,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,"2,71,411.92"," 2,31,514.37 ",12-09-2019,12,9,2019
31-01-2020,30-2982340,France,PC,Games,"Schowalter, Lesch and Beahan",Othello Bowes,Amelina Piscopiello,"1,57,932.84"," 1,34,148.15 ",1/31/2020,1,31,2020
31-08-2020,89-0187996,France,Tablet,Appliances,"Fisher, Morar and Skiles",Othello Bowes,Ora Grennan,"26,103.94"," 22,339.75 ",8/31/2020,8,31,2020
11-12-2020,78-3726363,France,PC,Smartphones,Rath-Schroeder,Othello Bowes,Avrit Chanders,"1,02,255.86"," 83,379.43 ",11-12-2020,11,12,2020
11-08-2020,56-7910696,France,PC,Books,McClure Inc,Othello Bowes,Amelina Piscopiello,"1,44,204.86"," 1,15,262.94 ",11-08-2020,11,8,2020
08-09-2020,91-4296427,France,Mobile,Books,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Avrit Chanders,"36,183.97"," 30,579.07 ",08-09-2020,8,9,2020
18-07-2020,45-2229786,France,PC,Books,"Dickinson, Hyatt and Berge",Othello Bowes,Maighdiln Upcraft,"1,24,534.96"," 1,07,012.89 ",7/18/2020,7,18,2020
01-07-2020,55-4161787,France,PC,Beauty,"Swaniawski, Runolfsson and Green",Othello Bowes,Crysta Halls,"1,32,760.25"," 1,05,039.91 ",01-07-2020,1,7,2020
18-07-2019,56-2537757,France,PC,Other,Larkin-Collier,Othello Bowes,Amelina Piscopiello,"1,77,802.70"," 1,55,079.51 ",7/18/2019,7,18,2019
15-01-2019,48-3190394,France,PC,Clothing,Kihn Inc,Othello Bowes,Amelina Piscopiello,"1,33,985.91"," 1,16,741.92 ",1/15/2019,1,15,2019
09-09-2019,38-6130023,France,PC,Clothing,Kihn Inc,Othello Bowes,Ora Grennan,"91,540.03"," 74,916.36 ",09-09-2019,9,9,2019
09-03-2020,70-9378988,France,Tablet,Outdoors,Romaguera-Dietrich,Othello Bowes,Avrit Chanders,"1,11,462.88"," 94,130.40 ",09-03-2020,9,3,2020
26-09-2019,70-1769929,France,PC,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,"67,594.10"," 54,920.21 ",9/26/2019,9,26,2019
09-12-2020,44-0517932,France,Mobile,Beauty,McGlynn-Prosacco,Othello Bowes,Ora Grennan,"1,59,926.16"," 1,26,453.61 ",09-12-2020,9,12,2020
10-04-2019,74-1131921,France,PC,Beauty,Friesen and Sons,Othello Bowes,Maighdiln Upcraft,"65,193.88"," 53,113.45 ",10-04-2019,10,4,2019
09-08-2020,36-8783637,France,PC,Games,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,"81,095.39"," 64,316.75 ",09-08-2020,9,8,2020
27-10-2019,82-1082124,France,PC,Electronics,Johns and Sons,Othello Bowes,Amelina Piscopiello,"1,48,405.47"," 1,28,845.63 ",10/27/2019,10,27,2019
12-04-2020,04-6732680,France,Tablet,Beauty,"Leffler, Prohaska and Streich",Othello Bowes,Crysta Halls,"38,648.72"," 32,368.30 ",12-04-2020,12,4,2020
08-12-2020,47-5319780,France,PC,Games,Kihn Inc,Othello Bowes,Avrit Chanders,"82,697.53"," 69,548.62 ",08-12-2020,8,12,2020
02-03-2019,33-4706706,France,PC,Smartphones,Smith Group,Othello Bowes,Crysta Halls,"87,355.70"," 74,584.30 ",02-03-2019,2,3,2019
10-08-2020,51-9052860,France,PC,Appliances,Hilll-Vandervort,Othello Bowes,Crysta Halls,"1,64,267.72"," 1,39,069.05 ",10-08-2020,10,8,2020
28-06-2019,59-5711012,France,PC,Appliances,Johns and Sons,Othello Bowes,Crysta Halls,"1,97,471.10"," 1,62,577.96 ",6/28/2019,6,28,2019
04-08-2019,47-9191500,France,PC,Beauty,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,"1,25,499.82"," 1,00,977.16 ",04-08-2019,4,8,2019
09-07-2020,58-8728288,France,PC,Appliances,Romaguera-Haley,Othello Bowes,Ora Grennan,"40,043.11"," 35,109.80 ",09-07-2020,9,7,2020
06-01-2020,95-4388709,France,PC,Books,"Zieme, Bailey and Herzog",Othello Bowes,Ora Grennan,"1,32,235.46"," 1,14,132.43 ",06-01-2020,6,1,2020
23-09-2019,55-2128150,France,PC,Beauty,Dibbert Inc,Othello Bowes,Amelina Piscopiello,"1,73,829.96"," 1,49,824.04 ",9/23/2019,9,23,2019
20-12-2020,32-3994860,France,PC,Smartphones,"Schmitt, Purdy and Johnson",Othello Bowes,Avrit Chanders,"2,64,149.91"," 2,08,757.67 ",12/20/2020,12,20,2020
28-05-2020,77-0650807,France,Tablet,Appliances,Armstrong-Little,Othello Bowes,Avrit Chanders,"1,40,943.88"," 1,20,633.87 ",5/28/2020,5,28,2020
02-06-2020,50-8357453,France,PC,Appliances,Konopelski LLC,Othello Bowes,Amelina Piscopiello,"1,10,878.97"," 90,588.12 ",02-06-2020,2,6,2020
16-01-2019,54-1473475,France,PC,Electronics,Considine-Fisher,Othello Bowes,Amelina Piscopiello,"1,51,855.04"," 1,29,486.79 ",1/16/2019,1,16,2019
01-02-2020,20-6735303,France,PC,Smartphones,"Swaniawski, Runolfsson and Green",Othello Bowes,Ora Grennan,"89,369.00"," 72,889.36 ",01-02-2020,1,2,2020
18-05-2020,65-5818172,France,PC,Clothing,Johns and Sons,Othello Bowes,Amelina Piscopiello,"83,340.04"," 73,264.23 ",5/18/2020,5,18,2020
15-04-2019,77-1100434,France,PC,Games,Friesen-Rath,Othello Bowes,Crysta Halls,"1,47,055.10"," 1,26,114.45 ",4/15/2019,4,15,2019
19-03-2020,45-5963143,France,PC,Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,"34,771.79"," 28,509.39 ",3/19/2020,3,19,2020
26-03-2020,65-0441590,France,PC,Other,Hessel-Stiedemann,Othello Bowes,Maighdiln Upcraft,"89,930.18"," 78,005.44 ",3/26/2020,3,26,2020
27-09-2019,02-6830973,France,PC,Appliances,"Schowalter, Lesch and Beahan",Othello Bowes,Crysta Halls,"1,16,328.75"," 93,365.45 ",9/27/2019,9,27,2019
02-04-2020,78-6287811,France,Mobile,Appliances,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Crysta Halls,"85,337.78"," 72,306.70 ",02-04-2020,2,4,2020
22-06-2020,75-1807214,France,PC,Appliances,West-Cummings,Othello Bowes,Avrit Chanders,"1,62,199.24"," 1,30,878.57 ",6/22/2020,6,22,2020
10-03-2019,18-5234470,France,PC,Electronics,"Zieme, Bailey and Herzog",Othello Bowes,Ora Grennan,"57,292.84"," 45,908.75 ",10-03-2019,10,3,2019
13-03-2019,46-5580805,France,PC,Electronics,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Ora Grennan,"35,214.85"," 27,985.24 ",3/13/2019,3,13,2019
24-04-2019,03-7559332,France,PC,Books,Johns and Sons,Othello Bowes,Ora Grennan,"96,613.06"," 79,242.03 ",4/24/2019,4,24,2019
27-01-2019,64-9816105,France,PC,Electronics,Wiza and Sons,Othello Bowes,Avrit Chanders,"90,228.68"," 77,966.60 ",1/27/2019,1,27,2019
09-08-2020,53-7680732,France,Mobile,Electronics,Johns and Sons,Othello Bowes,Avrit Chanders,"1,22,468.33"," 1,03,032.61 ",09-08-2020,9,8,2020
09-09-2019,32-3418936,France,PC,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Crysta Halls,"1,27,946.33"," 1,11,850.68 ",09-09-2019,9,9,2019
30-06-2019,19-9649739,France,PC,Appliances,"Rowe, Hermiston and Kessler",Othello Bowes,Ora Grennan,"2,38,850.25"," 1,99,607.15 ",6/30/2019,6,30,2019
20-03-2020,84-0460695,France,PC,Appliances,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,"19,814.86"," 16,787.15 ",3/20/2020,3,20,2020
09-07-2020,29-9208067,France,PC,Appliances,Romaguera-Dietrich,Othello Bowes,Crysta Halls,"1,44,927.17"," 1,22,260.56 ",09-07-2020,9,7,2020
12-07-2019,44-7664180,France,Mobile,Books,Johns and Sons,Othello Bowes,Ora Grennan,"1,84,431.48"," 1,53,059.69 ",12-07-2019,12,7,2019
08-01-2020,89-7467187,France,PC,Books,Johns and Sons,Othello Bowes,Ora Grennan,"40,544.43"," 32,666.65 ",08-01-2020,8,1,2020
23-03-2019,20-9472915,France,PC,Games,Johns and Sons,Othello Bowes,Ora Grennan,"36,276.11"," 28,748.82 ",3/23/2019,3,23,2019
27-08-2020,74-9856135,France,Mobile,Electronics,Hegmann Group,Othello Bowes,Crysta Halls,"63,690.72"," 53,455.62 ",8/27/2020,8,27,2020
25-09-2019,00-1398218,France,Mobile,Books,Johns and Sons,Othello Bowes,Avrit Chanders,"1,73,456.40"," 1,49,866.33 ",9/25/2019,9,25,2019
05-09-2020,99-0862667,France,PC,Other,Friesen-Rath,Othello Bowes,Crysta Halls,"60,068.71"," 47,688.55 ",05-09-2020,5,9,2020
16-02-2019,79-6118087,France,PC,Clothing,Gislason-Stanton,Othello Bowes,Amelina Piscopiello,"1,05,522.72"," 86,581.39 ",2/16/2019,2,16,2019
21-01-2019,64-1003834,France,PC,Beauty,Kihn Inc,Othello Bowes,Maighdiln Upcraft,"1,34,243.39"," 1,13,019.51 ",1/21/2019,1,21,2019
02-06-2019,24-2679038,France,PC,Games,"Dickinson, Hyatt and Berge",Othello Bowes,Ora Grennan,"56,068.70"," 47,378.05 ",02-06-2019,2,6,2019
05-09-2020,06-4986886,France,Mobile,Beauty,"Hermiston, Simonis and Wisoky",Othello Bowes,Maighdiln Upcraft,"31,161.76"," 27,300.82 ",05-09-2020,5,9,2020
04-02-2020,63-5897834,France,Mobile,Electronics,Schoen-Keeling,Othello Bowes,Ora Grennan,"98,915.41"," 85,176.06 ",04-02-2020,4,2,2020
17-10-2019,08-4398900,France,PC,Books,Johns and Sons,Othello Bowes,Ora Grennan,"1,08,968.67"," 88,395.39 ",10/17/2019,10,17,2019
10-09-2020,53-4511393,France,PC,Appliances,Altenwerth-Konopelski,Othello Bowes,Crysta Halls,"1,08,158.80"," 89,328.35 ",10-09-2020,10,9,2020
05-07-2019,45-5157875,France,Tablet,Games,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Avrit Chanders,"79,205.19"," 65,423.49 ",05-07-2019,5,7,2019
11-10-2019,97-8921759,France,Tablet,Clothing,Walter LLC,Othello Bowes,Avrit Chanders,"42,290.45"," 34,255.26 ",11-10-2019,11,10,2019
02-01-2019,43-6672888,France,PC,Clothing,"Leffler, Prohaska and Streich",Othello Bowes,Maighdiln Upcraft,"1,10,090.36"," 93,433.69 ",02-01-2019,2,1,2019
28-09-2020,28-6152726,France,PC,Books,Hessel-Stiedemann,Othello Bowes,Crysta Halls,"1,21,043.69"," 96,750.22 ",9/28/2020,9,28,2020
22-07-2019,18-3315246,France,PC,Beauty,Stehr LLC,Othello Bowes,Maighdiln Upcraft,"1,56,110.40"," 1,32,584.56 ",7/22/2019,7,22,2019
10-04-2019,47-9858688,France,PC,Books,Considine-Fisher,Othello Bowes,Avrit Chanders,"80,294.56"," 65,295.54 ",10-04-2019,10,4,2019
06-02-2019,24-9178520,France,Mobile,Accessories,"Heaney, Gulgowski and Kshlerin",Othello Bowes,Maighdiln Upcraft,"2,34,961.46"," 1,99,388.30 ",06-02-2019,6,2,2019
30-06-2019,17-5553034,France,PC,Games,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Amelina Piscopiello,"2,14,615.79"," 1,77,637.49 ",6/30/2019,6,30,2019
19-05-2019,03-5073152,France,PC,Electronics,Hessel-Stiedemann,Othello Bowes,Maighdiln Upcraft,"1,73,418.59"," 1,40,746.53 ",5/19/2019,5,19,2019
18-09-2019,19-8109416,France,PC,Electronics,Friesen and Sons,Othello Bowes,Maighdiln Upcraft,"27,400.69"," 22,832.99 ",9/18/2019,9,18,2019
24-06-2019,69-8016438,France,Mobile,Clothing,Friesen-Rath,Othello Bowes,Avrit Chanders,"1,86,209.44"," 1,48,818.58 ",6/24/2019,6,24,2019
15-11-2019,30-9137723,France,PC,Electronics,"Swaniawski, Runolfsson and Green",Othello Bowes,Avrit Chanders,"71,079.80"," 56,778.54 ",11/15/2019,11,15,2019
07-03-2019,12-1257338,France,PC,Beauty,Wisoky Inc,Othello Bowes,Avrit Chanders,"1,17,538.82"," 1,00,719.02 ",07-03-2019,7,3,2019
12-08-2020,00-5823706,France,PC,Smartphones,Johns and Sons,Othello Bowes,Amelina Piscopiello,"1,40,635.94"," 1,15,194.90 ",12-08-2020,12,8,2020
10-03-2020,58-1975365,France,PC,Books,Franecki-White,Othello Bowes,Ora Grennan,"88,977.22"," 72,534.23 ",10-03-2020,10,3,2020
07-11-2020,29-8090560,France,PC,Books,Altenwerth-Konopelski,Othello Bowes,Ora Grennan,"84,712.13"," 73,004.91 ",07-11-2020,7,11,2020
15-06-2019,70-3373325,France,PC,Electronics,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,"1,84,221.20"," 1,50,324.50 ",6/15/2019,6,15,2019
01-12-2019,73-6329299,France,PC,Clothing,Hessel-Stiedemann,Othello Bowes,Crysta Halls,"57,348.43"," 47,587.73 ",01-12-2019,1,12,2019
13-12-2019,74-6221213,France,PC,Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,"1,97,581.29"," 1,69,485.23 ",12/13/2019,12,13,2019
24-10-2020,35-9605742,France,PC,Other,Goldner-Dibbert,Othello Bowes,Amelina Piscopiello,"57,333.85"," 46,308.55 ",10/24/2020,10,24,2020
10-09-2019,45-8966277,France,Tablet,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,"1,54,950.74"," 1,33,195.66 ",10-09-2019,10,9,2019
22-05-2020,44-2757396,France,Tablet,Electronics,"Swaniawski, Runolfsson and Green",Othello Bowes,Ora Grennan,"1,24,784.67"," 1,06,853.11 ",5/22/2020,5,22,2020
21-12-2019,26-1781486,France,Mobile,Beauty,"Rowe, Hermiston and Kessler",Othello Bowes,Ora Grennan,"56,823.17"," 46,583.63 ",12/21/2019,12,21,2019
08-05-2020,66-4296261,France,PC,Books,"Fisher, Morar and Skiles",Othello Bowes,Avrit Chanders,"1,50,287.47"," 1,23,611.44 ",08-05-2020,8,5,2020
21-03-2020,44-6408586,France,PC,Smartphones,Kirlin and Sons,Othello Bowes,Avrit Chanders,"99,132.04"," 78,819.89 ",3/21/2020,3,21,2020
14-11-2020,89-7513050,France,PC,Smartphones,Larkin-Collier,Othello Bowes,Amelina Piscopiello,"68,173.22"," 54,040.91 ",11/14/2020,11,14,2020
16-09-2020,93-5465623,France,Mobile,Clothing,Tillman and Sons,Othello Bowes,Ora Grennan,"75,264.84"," 61,694.59 ",9/16/2020,9,16,2020
12-11-2020,57-2495984,France,PC,Electronics,Johns and Sons,Othello Bowes,Ora Grennan,"3,10,539.00"," 2,48,275.93 ",12-11-2020,12,11,2020
30-10-2020,22-6938537,France,PC,Appliances,Wisoky Inc,Othello Bowes,Amelina Piscopiello,"1,43,658.22"," 1,23,158.19 ",10/30/2020,10,30,2020
26-06-2020,80-1374023,France,PC,Beauty,Larkin-Collier,Othello Bowes,Maighdiln Upcraft,"1,31,097.05"," 1,09,203.84 ",6/26/2020,6,26,2020
22-09-2019,17-3240628,France,PC,Appliances,Dibbert Inc,Othello Bowes,Amelina Piscopiello,"51,504.50"," 44,592.60 ",9/22/2019,9,22,2019
09-01-2019,22-5929243,France,PC,Outdoors,Johns and Sons,Othello Bowes,Amelina Piscopiello,"38,750.53"," 31,298.80 ",09-01-2019,9,1,2019
06-08-2019,35-7483371,France,PC,Beauty,Armstrong-Little,Othello Bowes,Ora Grennan,"1,11,676.46"," 92,791.97 ",06-08-2019,6,8,2019
15-04-2019,34-6603897,France,PC,Games,"Keeling, Monahan and Pollich",Othello Bowes,Amelina Piscopiello,"1,16,206.87"," 93,104.94 ",4/15/2019,4,15,2019
26-06-2019,92-3462655,France,PC,Books,"Keeling, Monahan and Pollich",Othello Bowes,Maighdiln Upcraft,"1,95,214.72"," 1,54,649.10 ",6/26/2019,6,26,2019
25-01-2020,26-9826298,France,PC,Smartphones,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,"1,68,226.52"," 1,36,818.63 ",1/25/2020,1,25,2020
02-01-2019,46-0117523,France,PC,Outdoors,Johns and Sons,Othello Bowes,Crysta Halls,"56,705.66"," 46,986.31 ",02-01-2019,2,1,2019
18-04-2019,03-4045721,France,PC,Games,Romaguera-Haley,Othello Bowes,Amelina Piscopiello,"1,67,935.31"," 1,37,942.06 ",4/18/2019,4,18,2019
24-08-2019,90-4449856,France,PC,Electronics,Littel-Blick,Othello Bowes,Amelina Piscopiello,"95,966.17"," 75,976.42 ",8/24/2019,8,24,2019
21-06-2020,21-4033151,France,PC,Clothing,Johns and Sons,Othello Bowes,Amelina Piscopiello,"1,28,221.13"," 1,02,217.88 ",6/21/2020,6,21,2020
10-08-2019,55-1050582,France,PC,Clothing,Considine-Fisher,Othello Bowes,Crysta Halls,"78,540.62"," 63,987.04 ",10-08-2019,10,8,2019
21-10-2019,37-6449638,France,PC,Clothing,O'Connell-Mitchell,Othello Bowes,Ora Grennan,"1,67,072.72"," 1,35,044.88 ",10/21/2019,10,21,2019
20-05-2019,38-2806168,France,PC,Smartphones,Kirlin and Sons,Othello Bowes,Amelina Piscopiello,"1,64,243.32"," 1,34,121.10 ",5/20/2019,5,20,2019
18-09-2019,09-7737652,France,Mobile,Clothing,Tillman and Sons,Othello Bowes,Amelina Piscopiello,"1,74,951.18"," 1,42,690.18 ",9/18/2019,9,18,2019
29-10-2020,03-2027170,France,PC,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,"29,443.71"," 23,958.35 ",10/29/2020,10,29,2020
15-02-2020,61-0532585,France,PC,Books,Hessel-Stiedemann,Othello Bowes,Crysta Halls,"1,11,557.68"," 92,470.16 ",2/15/2020,2,15,2020
29-06-2020,65-2631885,France,PC,Books,Friesen-Rath,Othello Bowes,Ora Grennan,"1,54,936.24"," 1,35,739.64 ",6/29/2020,6,29,2020
17-06-2019,91-6673445,France,PC,Games,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,"65,254.50"," 53,919.79 ",6/17/2019,6,17,2019
12-03-2019,26-0092767,France,PC,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,"75,483.45"," 60,077.28 ",12-03-2019,12,3,2019
20-05-2019,85-5544928,France,PC,Clothing,Johns and Sons,Othello Bowes,Ora Grennan,"48,890.14"," 41,180.16 ",5/20/2019,5,20,2019
21-05-2020,00-6227453,France,PC,Games,Goldner-Dibbert,Othello Bowes,Crysta Halls,"80,839.75"," 63,936.16 ",5/21/2020,5,21,2020
28-03-2020,01-6107437,France,PC,Games,Wisoky Inc,Othello Bowes,Avrit Chanders,"19,366.75"," 15,857.49 ",3/28/2020,3,28,2020
25-10-2019,13-6163562,France,PC,Smartphones,Wiza and Sons,Othello Bowes,Crysta Halls,"45,481.24"," 37,317.36 ",10/25/2019,10,25,2019
13-06-2020,18-2580592,France,PC,Appliances,Goldner-Dibbert,Othello Bowes,Amelina Piscopiello,"2,50,488.42"," 2,14,142.55 ",6/13/2020,6,13,2020
20-01-2019,19-0320558,France,PC,Smartphones,Johns and Sons,Othello Bowes,Amelina Piscopiello,"72,749.07"," 59,108.62 ",1/20/2019,1,20,2019
24-07-2019,04-8899739,France,PC,Beauty,Considine-Fisher,Othello Bowes,Crysta Halls,"1,09,697.86"," 89,853.52 ",7/24/2019,7,24,2019
04-04-2020,48-2932903,France,PC,Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,"57,276.26"," 49,223.22 ",04-04-2020,4,4,2020
27-10-2020,30-9025281,France,Tablet,Books,Johns and Sons,Othello Bowes,Maighdiln Upcraft,"84,035.82"," 71,329.60 ",10/27/2020,10,27,2020
30-09-2019,21-2097342,France,Mobile,Accessories,Schoen-Keeling,Othello Bowes,Avrit Chanders,"94,925.00"," 77,572.71 ",9/30/2019,9,30,2019
27-08-2019,30-4045249,France,PC,Books,"Schmitt, Purdy and Johnson",Othello Bowes,Avrit Chanders,"1,05,464.41"," 84,761.75 ",8/27/2019,8,27,2019
30-04-2019,31-9806848,France,Tablet,Appliances,Hilll-Vandervort,Othello Bowes,Avrit Chanders,"1,55,827.30"," 1,26,360.36 ",4/30/2019,4,30,2019
09-03-2020,46-4560578,France,PC,Clothing,McClure Inc,Othello Bowes,Crysta Halls,"86,050.61"," 75,569.65 ",09-03-2020,9,3,2020
30-07-2020,60-0406937,France,PC,Beauty,"Farrell, Swaniawski and Crist",Othello Bowes,Ora Grennan,"1,06,730.16"," 89,503.91 ",7/30/2020,7,30,2020
02-03-2020,82-0616982,France,PC,Clothing,Homenick-Marvin,Othello Bowes,Ora Grennan,"35,437.89"," 30,412.80 ",02-03-2020,2,3,2020
21-03-2019,01-7655863,France,PC,Accessories,"Hermiston, Simonis and Wisoky",Othello Bowes,Ora Grennan,"76,543.36"," 65,819.64 ",3/21/2019,3,21,2019
15-12-2020,84-4465649,France,PC,Appliances,Armstrong-Little,Othello Bowes,Crysta Halls,"2,49,915.21"," 2,15,326.95 ",12/15/2020,12,15,2020
23-05-2020,68-0176456,France,PC,Games,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Avrit Chanders,"74,685.85"," 59,166.13 ",5/23/2020,5,23,2020
01-02-2020,63-7370049,France,PC,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,"74,103.82"," 64,811.20 ",01-02-2020,1,2,2020
09-02-2019,03-3461826,France,PC,Appliances,Johns and Sons,Othello Bowes,Maighdiln Upcraft,"1,76,190.16"," 1,42,273.55 ",09-02-2019,9,2,2019
20-06-2019,43-7357498,France,PC,Books,Johns and Sons,Othello Bowes,Crysta Halls,"2,12,521.26"," 1,72,014.71 ",6/20/2019,6,20,2019
02-02-2019,88-8981595,France,PC,Electronics,Hane Inc,Othello Bowes,Amelina Piscopiello,"40,148.49"," 31,954.18 ",02-02-2019,2,2,2019
26-06-2019,29-5478106,France,Mobile,Electronics,Kirlin and Sons,Othello Bowes,Crysta Halls,"2,03,604.46"," 1,75,344.16 ",6/26/2019,6,26,2019
16-05-2020,47-5051773,France,PC,Appliances,Stehr LLC,Othello Bowes,Maighdiln Upcraft,"58,416.11"," 48,076.46 ",5/16/2020,5,16,2020
21-02-2019,92-3687989,France,Mobile,Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,"78,629.19"," 63,359.40 ",2/21/2019,2,21,2019
13-01-2019,72-2796883,France,PC,Electronics,Kihn Inc,Othello Bowes,Crysta Halls,"40,535.64"," 35,480.85 ",1/13/2019,1,13,2019
21-06-2019,32-3124563,France,PC,Appliances,Connelly-Mohr,Othello Bowes,Avrit Chanders,"96,795.99"," 81,395.75 ",6/21/2019,6,21,2019
18-09-2020,52-3150154,France,PC,Games,Armstrong-Little,Othello Bowes,Ora Grennan,"1,33,754.65"," 1,06,147.69 ",9/18/2020,9,18,2020
22-04-2020,67-6072579,France,PC,Clothing,McGlynn-Bergstrom,Othello Bowes,Amelina Piscopiello,"1,23,562.02"," 1,02,927.16 ",4/22/2020,4,22,2020
28-11-2020,89-0300778,France,PC,Electronics,Romaguera-Dietrich,Othello Bowes,Amelina Piscopiello,"33,013.08"," 26,743.90 ",11/28/2020,11,28,2020
13-03-2019,75-8968627,France,PC,Smartphones,Corwin and Sons,Othello Bowes,Crysta Halls,"75,522.66"," 60,448.34 ",3/13/2019,3,13,2019
13-04-2019,54-5705354,France,PC,Games,Hilll-Vandervort,Othello Bowes,Maighdiln Upcraft,"1,01,318.72"," 86,657.90 ",4/13/2019,4,13,2019
25-12-2019,12-3815754,France,PC,Books,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Maighdiln Upcraft,"2,35,042.75"," 1,87,446.59 ",12/25/2019,12,25,2019
26-03-2020,52-0213558,France,PC,Books,Armstrong-Little,Othello Bowes,Amelina Piscopiello,"95,307.21"," 78,533.14 ",3/26/2020,3,26,2020
20-06-2019,19-6334792,France,Mobile,Beauty,Hessel-Stiedemann,Othello Bowes,Maighdiln Upcraft,"2,32,217.05"," 1,91,439.74 ",6/20/2019,6,20,2019
03-02-2020,08-0446109,France,PC,Beauty,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,"56,118.05"," 47,711.57 ",03-02-2020,3,2,2020
